University Faculty,Fields of Study
Behaviour Analysis,"Behaviour Analysis, Psychology, Applied Behaviour Analysis, Special Education, Organisational Behaviour Management, Behavioural Neuroscience, Behavioural Pharmacology, Behavioural Gerontology, Behavioural Economics, Behavioural Ecology"
BEng,"Engineering, Mechanical Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering, Aerospace Engineering, Biomedical Engineering, Environmental Engineering, Materials Engineering, Industrial Engineering"
BFA,"Fine Arts, Visual Arts, Painting, Sculpture, Photography, Printmaking, Drawing, Ceramics, Installation Art, Performance Art"
Biological Sciences,"Biological Sciences, Biochemistry, Microbiology, Genetics, Ecology, Evolution, Cell Biology, Molecular Biology, Neurobiology, Biotechnology"
Biology,"Biology, Botany, Zoology, Evolution, Molecular Biology, Genetics, Ecology, Cell Biology, Biochemistry, Microbiology"
Biomedical Sciences,"Biomedical Sciences, Biochemistry, Molecular Biology, Genetics, Pharmacology, Immunology, Cell Biology, Neuroscience, Pathology, Biotechnology"
BN,"Nursing, Midwifery, Health Science, Health Promotion, Public Health, Pediatrics, Gerontology, Mental Health, Community Health, Women's Health"
BPharm,"Pharmacy, Pharmaceutical Sciences, Medicinal Chemistry, Pharmacology, Drug Delivery, Pharmaceutics, Pharmacognosy, Pharmaceutical Microbiology, Pharmaceutical Analysis, Pharmacokinetics"
BS,"Natural Sciences, Mathematics, Engineering, Computer Science, Biology, Chemistry, Physics, Earth Sciences, Environmental Sciences, Materials Sciences"
BSc,"Natural Sciences, Mathematics, Engineering, Computer Science, Biology, Chemistry, Physics, Earth Sciences, Environmental Sciences, Materials Sciences"
Built Environment,"Built Environment, Architecture, Urban Planning, Building Science, Landscape Architecture, Construction Management, Real Estate Development, Infrastructure Planning, Facility Management, Sustainable Design"
Business,"Business, Management, Marketing, Finance, Accounting, International Business, Entrepreneurship, Human Resource Management, Operations Management, Strategic Management"
Business Analytics,"Business Analytics, Data Science, Machine Learning, Operations Research, Business Intelligence, Data Mining, Predictive Analytics, Optimization, Statistical Analysis, Big Data Analytics"
Business and Management Studies,"Business, Management, Marketing, Finance, Accounting, International Business, Entrepreneurship, Human Resource Management, Operations Management, Strategic Management, Organizational Behaviour"
Chemistry,"Chemistry, Organic Chemistry, Inorganic Chemistry, Physical Chemistry, Analytical Chemistry, Biochemistry, Materials Chemistry, Environmental Chemistry, Medicinal Chemistry, Polymer Chemistry"
Classics and Ancient History,"Classics, Ancient History, Greek, Latin, Ancient Philosophy, Ancient Art and Archaeology, Ancient Religion, Ancient Literature, Ancient Science, Ancient Law"
Commercialisation,"Commercialisation, Entrepreneurship, Innovation, Technology Transfer, Intellectual Property, New Venture Creation, Business Planning, Marketing Strategy, Product Development, Project Management"
Communication and Media Studies,"Communication, Media Studies, Journalism, Public Relations, Advertising, Digital Media, Film Studies, Cultural Studies, Rhetoric, Interpersonal Communication"
Community Development,"Community Development, Social Work, Public Policy, Nonprofit Management, Community Health, Community Planning, Community Organizing, Community Education, Community Economic Development, Urban Studies"
Computer Science and Information Systems,"Computer Science, Information Systems, Software Engineering, Artificial Intelligence, Data Science, Cybersecurity, Networking, Human-Computer Interaction, Database Systems, Web Development"
Creative Media,"Creative Media, Digital Media, Animation, Film, Game Design, Interactive Media, Virtual Reality, Sound Design, Visual Effects, Motion Graphics"
Creative Writing,"Creative Writing, Fiction, Poetry, Nonfiction, Screenwriting, Playwriting, Memoir, Children's Literature, Young Adult Literature, Science Fiction and Fantasy"
Criminology,"Criminology, Criminal Justice, Sociology, Psychology, Law, Penology, Victimology, Juvenile Delinquency, Crime Prevention, Forensic Science"
Cybersecurity,"Cybersecurity, Information Security, Computer Science, Network Security, Cryptography, Malware Analysis, Penetration Testing, Risk Management, Cyber Law, Cyber Warfare"
Data Science,"Data Science, Machine Learning, Statistics, Data Mining, Data Visualization, Predictive Analytics, Big Data Analytics, Natural Language Processing, Time Series Analysis, Deep Learning"
Dentistry,"Dentistry, Oral Surgery, Orthodontics, Endodontics, Periodontics, Prosthodontics, Pediatric Dentistry, Oral Pathology, Oral Medicine, Dental Public Health"
Development Studies,"Development Studies, International Relations, Economics, Political Science, Sociology, Anthropology, Geography, Environmental Studies, Public Health, Gender Studies"
Earth and Marine Sciences,"Earth Sciences, Marine Sciences, Geology, Oceanography, Meteorology, Climatology, Geophysics, Paleontology, Hydrology, Environmental Geoscience"
Economics,"Economics, Microeconomics, Macroeconomics, Econometrics, International Economics, Development Economics, Labor Economics, Health Economics, Environmental Economics, Behavioral Economics"
Economics and Econometrics,"Economics, Econometrics, Mathematical Economics, Statistical Inference, Time Series Analysis, Microeconometrics, Macroeconometrics, Panel Data Analysis, Spatial Econometrics, Bayesian Econometrics"
Education and Training,"Education, Teacher Education, Curriculum Studies, Educational Psychology, Special Education, Educational Leadership, Educational Technology, Counseling, Higher Education, Vocational Education"
Engineering,"Engineering, Mechanical Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering, Aerospace Engineering, Biomedical Engineering, Environmental Engineering, Materials Engineering, Industrial Engineering"
Engineering - Aeronautical,"Aeronautical Engineering, Aerodynamics, Flight Dynamics, Propulsion, Aircraft Design, Control Systems, Avionics, Structural Analysis, Materials Science, Space Engineering"
Engineering - Chemical,"Chemical Engineering, Process Engineering, Materials Science, Thermodynamics, Kinetics, Reaction Engineering, Separation Processes, Catalysis, Biochemical Engineering, Environmental Engineering"
Engineering - Civil and Structural,"Civil Engineering, Structural Engineering, Geotechnical Engineering, Transportation Engineering, Water Resources Engineering, Construction Management, Environmental Engineering, Municipal Engineering, Coastal Engineering, Earthquake Engineering"
Engineering - Electrical and Electronic,"Electrical Engineering, Electronic Engineering, Control Systems, Signal Processing, Power Systems, Telecommunications, Microelectronics, Nanotechnology, Photonics, Robotics"
Engineering - General,"Engineering, Mechanical Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering, Aerospace Engineering, Biomedical Engineering, Environmental Engineering, Materials Engineering, Industrial Engineering"
Engineering - Manufacturing and Production,"Manufacturing Engineering, Production Engineering, Quality Control, Operations Management, Supply Chain Management, Logistics, Maintenance Engineering, Industrial Engineering, Ergonomics, Human Factors"
Engineering - Mechanical,"Mechanical Engineering, Thermodynamics, Fluid Mechanics, Solid Mechanics, Mechatronics, Control Systems, Materials Science, Manufacturing Processes, Design Optimization, Robotics"
Engineering - Mineral and Mining,"Mining Engineering, Mineral Processing, Geology, Rock Mechanics, Mine Ventilation, Mining Economics, Mining Environmental Management, Mining Health and Safety, Mining Automation, Mining Waste Management"
Engineering - Petroleum,"Petroleum Engineering, Reservoir Engineering, Drilling Engineering, Production Engineering, Natural Gas Engineering, Enhanced Oil Recovery, Petrophysics, Formation Evaluation, Reservoir Simulation, Unconventional Resources"
Engineering - Product Design,"Product Design, Industrial Design, Human Factors, Ergonomics, Manufacturing, Materials Science, Sustainable Design, Design for Manufacturing, Design for Assembly, Design for the Environment"
Engineering Management,"Engineering Management, Project Management, Operations Management, Quality Control, Supply Chain Management, Logistics, Maintenance Engineering, Industrial Engineering, Engineering Economics, Risk Management"
English Language and Literature,"English Language, English Literature, Linguistics, Creative Writing, Rhetoric, Literary Theory, Cultural Studies, Literary History, Comparative Literature, Children's Literature"
Environmental Sciences,"Environmental Sciences, Ecology, Environmental Policy, Environmental Health, Sustainability, Conservation Biology, Climate Change, Natural Resource Management, Environmental Impact Assessment, Pollution Control"
Ethnicity, Gender and Diversity,"Ethnicity Studies, Gender Studies, Diversity Studies, Cultural Studies, Sociology, Anthropology, History, Political Science, Psychology, Social Work"
Finance,"Finance, Financial Analysis, Risk Management, Investment, Corporate Finance, Financial Markets, Derivatives, International Finance, Behavioral Finance, Financial Econometrics"
Food Science,"Food Science, Food Technology, Food Microbiology, Food Chemistry, Sensory Science, Food Processing, Food Packaging, Food Safety, Nutrition, Food Engineering"
Forensic Science,"Forensic Science, Criminalistics, Forensic Chemistry, Forensic Biology, Forensic Anthropology, Forensic Psychology, Forensic Toxicology, Forensic Entomology, Forensic Odontology, Digital Forensics"
Genetics,"Genetics, Molecular Biology, Biochemistry, Evolution, Genomics, Proteomics, Bioinformatics, Epigenetics, Population Genetics, Quantitative Genetics"
Geography,"Geography, Physical Geography, Human Geography, Geographic Information Systems, Remote Sensing, Cartography, Climatology, Biogeography, Landscape Ecology, Urban Geography"
Geology,"Geology, Mineralogy, Petrology, Geochemistry, Structural Geology, Sedimentology, Stratigraphy, Paleontology, Hydrogeology, Engineering Geology"
Geophysics,"Geophysics, Seismology, Meteorology, Oceanography, Geodesy, Geomagnetism, Gravity, Tectonophysics, Volcanology, Glaciology"
Health/Healthcare,"Health Science, Nursing, Public Health, Healthcare Administration, Health Informatics, Health Education, Health Policy, Health Economics, Health Psychology, Occupational Therapy"
History,"History, World History, European History, American History, Military History, Social History, Cultural History, Economic History, Political History, Intellectual History"
Hospitality and Leisure Management,"Hospitality Management, Leisure Management, Tourism Management, Event Management, Food and Beverage Management, Hotel Management, Resort Management, Casino Management, Club Management, Spa Management"
Human Resources Management,"Human Resources Management, Recruitment, Training and Development, Performance Management, Employment Law, Compensation and Benefits, Employee Relations, Labor Relations, Organizational Development, Talent Management"
Immunology,"Immunology, Microbiology, Biochemistry, Molecular Biology, Genetics, Cell Biology, Virology, Bacteriology, Parasitology, Vaccinology"
Industrial Design,"Industrial Design, Product Design, Human Factors, Ergonomics, Manufacturing, Materials Science, Sustainable Design, Design for Manufacturing, Design for Assembly, Design for the Environment"
Industrial Relations,"Industrial Relations, Human Resources Management, Labor Economics, Labor Law, Collective Bargaining, Labor History, Labor Policy, Labor Market Analysis, Occupational Health and Safety, Employee Engagement"
International Relations/Studies/Affairs,"International Relations, International Studies, International Affairs, Diplomacy, Globalization, Comparative Politics, International Political Economy, International Law, International Security, International Organizations"
JD,"Law, Jurisprudence, Legal Theory, Legal Writing, Trial Advocacy, Contract Law, Tort Law, Criminal Law, Constitutional Law, Property Law"
Journalism,"Journalism, Broadcast Journalism, Print Journalism, Online Journalism, Investigative Journalism, Feature Writing, Opinion Writing, Sports Journalism, Business Journalism, Science Journalism"
Juridical Science,"Law, Jurisprudence, Legal Theory, Legal History, Comparative Law, International Law, Human Rights Law, Environmental Law, Intellectual Property Law, Tax Law"
Law,"Law, Jurisprudence, Legal Theory, Legal Writing, Trial Advocacy, Contract Law, Tort Law, Criminal Law, Constitutional Law, Property Law"
Law and Legal Studies,"Law, Jurisprudence, Legal Theory, Legal Writing, Trial Advocacy, Contract Law, Tort Law, Criminal Law, Constitutional Law, Property Law, International Law, Human Rights Law, Environmental Law, Intellectual Property Law, Tax Law"
Liberal Arts,"Liberal Arts, Humanities, Social Sciences, Languages, Literature, Philosophy, History, Cultural Studies, Communication Studies, Political Science"
Library and Information Management,"Library Science, Information Management, Archives, Records Management, Digital Curation, Information Literacy, Information Retrieval, Information Architecture, Information Policy, Knowledge Management"
Linguistics,"Linguistics, Phonetics, Phonology, Syntax, Semantics, Pragmatics, Sociolinguistics, Psycholinguistics, Neurolinguistics, Computational Linguistics"
LLB,"Law, Jurisprudence, Legal Theory, Legal Writing, Trial Advocacy, Contract Law, Tort Law, Criminal Law, Constitutional Law, Property Law"
LLM,"Law, Jurisprudence, Legal Theory, Legal Writing, Trial Advocacy, Contract Law, Tort Law, Criminal Law, Constitutional Law, Property Law, International Law, Human Rights Law, Environmental Law, Intellectual Property Law, Tax Law"
Logistics / Supply Chain Management,"Logistics, Supply Chain Management, Operations Management, Inventory Management, Transportation Management, Warehouse Management, Distribution Management, Demand Planning, Procurement, Reverse Logistics"
MA,"Arts, Humanities, Social Sciences, Languages, Literature, History, Philosophy, Cultural Studies, Communication Studies, Political Science"
Marketing,"Marketing, Advertising, Market Research, Brand Management, Sales, Consumer Behavior, Digital Marketing, Social Media Marketing, Product Management, Public Relations"
Masters,"Various Fields, Natural Sciences, Engineering, Computer Science, Business, Social Sciences, Humanities, Education, Health Sciences, Environmental Sciences"
Materials and Processes,"Materials Science, Materials Engineering, Metallurgy, Polymer Science, Ceramics, Composites, Nanomaterials, Biomaterials, Electronic Materials, Optical Materials"
Materials Sciences,"Materials Science, Materials Engineering, Metallurgy, Polymer Science, Ceramics, Composites, Nanomaterials, Biomaterials, Electronic Materials, Optical Materials"
Mathematics,"Mathematics, Algebra, Geometry, Calculus, Statistics, Probability, Topology, Number Theory, Cryptography, Operations Research"
MBA,"Business, Management, Marketing, Finance, Accounting, International Business, Entrepreneurship, Human Resource Management, Operations Management, Strategic Management"
Medicine,"Medicine, Surgery, Internal Medicine, Pediatrics, Obstetrics and Gynecology, Psychiatry, Neurology, Cardiology, Oncology, Radiology"
Medicine Related Studies,"Medicine, Nursing, Public Health, Healthcare Administration, Health Informatics, Health Education, Health Policy, Health Economics, Health Psychology, Occupational Therapy"
MFA,"Fine Arts, Visual Arts, Painting, Sculpture, Photography, Printmaking, Drawing, Ceramics, Installation Art, Performance Art"
MLA,"Landscape Architecture, Urban Design, Environmental Planning, Sustainability, Historic Preservation, Park and Recreation Planning, Ecological Restoration, Urban Ecology, Green Infrastructure, Landscape Ecology"
MMusic,"Music, Music Performance, Music Composition, Music Theory, Music History, Music Education, Music Technology, Music Therapy, Conducting, Ethnomusicology"
Modern Languages,"Modern Languages, Linguistics, Literature, Translation, Cultural Studies, Language Teaching, Applied Linguistics, Sociolinguistics, Psycholinguistics, Discourse Analysis"
MPhil,"Various Fields, Natural Sciences, Engineering, Computer Science, Business, Social Sciences, Humanities, Education, Health Sciences, Environmental Sciences"
MRes,"Various Fields, Natural Sciences, Engineering, Computer Science, Business, Social Sciences, Humanities, Education, Health Sciences, Environmental Sciences"
MSc,"Natural Sciences, Mathematics, Engineering, Computer Science, Biology, Chemistry, Physics, Earth Sciences, Environmental Sciences, Materials Sciences"
MScr,"Various Fields, Natural Sciences, Engineering, Computer Science, Business, Social Sciences, Humanities, Education, Health Sciences, Environmental Sciences"
Neuropsychology,"Neuropsychology, Neuroscience, Psychology, Cognitive Science, Rehabilitation, Neuroimaging, Neuroanatomy, Neurodevelopment, Neurodegeneration, Neuropharmacology"
Nursing,"Nursing, Midwifery, Health Science, Health Promotion, Public Health, Pediatrics, Gerontology, Mental Health, Community Health, Women's Health"
Other,"Various Fields, Natural Sciences, Engineering, Computer Science, Business, Social Sciences, Humanities, Education, Health Sciences, Environmental Sciences"
Performing Arts,"Performing Arts, Music, Dance, Theatre, Film, Opera, Circus Arts, Puppetry, Spoken Word, Performance Art"
Pharmaceutical Science,"Pharmaceutical Science, Pharmaceutical Chemistry, Pharmacology, Drug Delivery, Biotechnology, Medicinal Chemistry, Pharmaceutical Analysis, Pharmaceutical Microbiology, Pharmaceutical Engineering, Pharmacokinetics"
Pharmaceutical Sciences,"Pharmaceutical Science, Pharmaceutical Chemistry, Pharmacology, Drug Delivery, Biotechnology, Medicinal Chemistry, Pharmaceutical Analysis, Pharmaceutical Microbiology, Pharmaceutical Engineering, Pharmacokinetics"
Pharmacology,"Pharmacology, Biochemistry, Molecular Biology, Pharmaceutical Science, Toxicology, Pharmacogenetics, Pharmacokinetics, Pharmacodynamics, Drug Discovery, Drug Development"
Pharmacy,"Pharmacy, Pharmaceutical Sciences, Medicinal Chemistry, Pharmacology, Drug Delivery, Pharmaceutics, Pharmacognosy, Pharmaceutical Microbiology, Pharmaceutical Analysis, Pharmacokinetics"
Pharmacy and Pharmacology,"Pharmacy, Pharmaceutical Sciences, Medicinal Chemistry, Pharmacology, Drug Delivery, Pharmaceutics, Pharmacognosy, Pharmaceutical Microbiology, Pharmaceutical Analysis, Pharmacokinetics"
PhD,"Various Fields, Natural Sciences, Engineering, Computer Science, Business, Social Sciences, Humanities, Education, Health Sciences, Environmental Sciences"
Philosophy,"Philosophy, Metaphysics, Epistemology, Ethics, Aesthetics, Logic, Social and Political Philosophy, Philosophy of Science, Philosophy of Religion, Philosophy of Mind"
Physics and Astronomy,"Physics, Astronomy, Mechanics, Electromagnetism, Quantum Mechanics, Thermodynamics, Statistical Mechanics, Relativity, Particle Physics, Astrophysics"
Politics,"Politics, International Relations, Political Theory, Comparative Politics, Public Policy, Political Economy, Political Sociology, Political Psychology, Political Communication, Political Philosophy"
Psychology,"Psychology, Clinical Psychology, Cognitive Psychology, Developmental Psychology, Social Psychology, Neuropsychology, Personality Psychology, Health Psychology, Educational Psychology, Industrial-Organizational Psychology"
Public Health,"Public Health, Epidemiology, Biostatistics, Environmental Health, Health Policy, Health Education, Health Promotion, Occupational Health, Global Health, Maternal and Child Health"
Public Policy,"Public Policy, Political Science, Economics, Sociology, Law, Public Administration, Public Management, Policy Analysis, Social Policy, Environmental Policy"
Real Estate,"Real Estate, Property Management, Real Estate Development, Real Estate Finance, Real Estate Law, Real Estate Appraisal, Real Estate Marketing, Real Estate Investment, Housing, Urban Planning"
Research,"Various Fields, Natural Sciences, Engineering, Computer Science, Business, Social Sciences, Humanities, Education, Health Sciences, Environmental Sciences"
Science,"Natural Sciences, Mathematics, Engineering, Computer Science, Biology, Chemistry, Physics, Earth Sciences, Environmental Sciences, Materials Sciences"
Social Work,"Social Work, Counseling, Psychology, Sociology, Public Policy, Community Development, Social Welfare, Social Justice, Human Services, Gerontology"
Sociology,"Sociology, Social Theory, Social Stratification, Social Institutions, Social Change, Sociology of Culture, Sociology of Family, Sociology of Education, Sociology of Religion, Sociology of Health and Illness"
Sports-related Courses,"Sports Science, Exercise Physiology, Sports Psychology, Sports Management, Coaching, Sports Medicine, Sports Nutrition, Sports Biomechanics, Sports Analytics, Sports Marketing"
Statistics,"Statistics, Probability, Mathematical Statistics, Applied Statistics, Data Science, Statistical Learning, Statistical Modeling, Statistical Computing, Statistical Genetics, Statistical Quality Control"
Statistics and Operational Research,"Statistics, Operations Research, Mathematical Modeling, Optimization, Data Science, Simulation, Queueing Theory, Inventory Control, Decision Analysis, Game Theory"
Sustainable Development,"Sustainable Development, Environmental Science, Environmental Policy, Sustainability Science, Social Science, Economics, Climate Change, Natural Resource Management, Renewable Energy, Sustainable Agriculture"
Theology, Divinity and Religious Studies,"Theology, Divinity, Religious Studies, Biblical Studies, Church History, Systematic Theology, Moral Theology, Pastoral Theology, Liturgical Theology, Spiritual Theology"
Toxicology,"Toxicology, Biochemistry, Molecular Biology, Pharmacology, Environmental Health, Chemical Biology, Risk Assessment, Drug Development, Food Safety, Occupational Health"
Urban Planning,"Urban Planning, Landscape Architecture, Environmental Planning, Sustainability, Historic Preservation, Park and Recreation Planning, Ecological Restoration, Urban Ecology, Green Infrastructure, Landscape Ecology"
Veterinary,"Veterinary Science, Veterinary Medicine, Animal Science, Animal Health, Animal Welfare, Animal Nutrition, Animal Behavior, Animal Breeding, Animal Genetics, Animal Production"
Veterinary Medicine,"Veterinary Science, Veterinary Medicine, Animal Science, Animal Health, Animal Welfare, Animal Nutrition, Animal Behavior, Animal Breeding, Animal Genetics, Animal Production"
Veterinary Science,"Veterinary Science, Veterinary Medicine, Animal Science, Animal Health, Animal Welfare, Animal Nutrition, Animal Behavior, Animal Breeding, Animal Genetics, Animal Production"
Zoology,"Zoology, Animal Behavior, Evolution, Ecology, Conservation Biology, Genetics, Physiology, Biomechanics, Systematics, Marine Biology"
